hour_bucket,hourly_avg_power,hourly_max_power,hourly_min_power,record_count
2021-12-28 15:00:00,0.98,1.122,0.836,6
2021-12-28 14:00:00,1.05,1.054,1.054,1
2021-12-28 13:00:00,1.0,1.343,0.716,4
2021-12-28 12:00:00,0.64,0.638,0.638,1
2021-12-28 11:00:00,1.2,1.693,0.707,2
2021-12-28 10:00:00,0.88,1.007,0.577,4
2021-12-28 09:00:00,1.05,1.198,0.947,3
2021-12-28 08:00:00,1.46,1.884,1.096,5
2021-12-28 07:00:00,1.6,1.864,1.36,4
2021-12-28 06:00:00,1.02,1.248,0.794,2
2021-12-28 05:00:00,0.79,0.843,0.736,2
2021-12-28 04:00:00,0.65,0.812,0.411,3
2021-12-28 03:00:00,1.05,1.555,0.775,4
2021-12-28 02:00:00,1.24,1.376,1.096,2
2021-12-28 01:00:00,0.84,1.227,0.607,4
2021-12-28 00:00:00,1.14,1.267,1.072,3
2021-12-27 23:00:00,1.73,2.044,1.574,3
2021-12-27 22:00:00,1.66,1.724,1.578,5
2021-12-27 20:00:00,1.54,1.536,1.536,1
2021-12-27 19:00:00,1.62,1.835,1.422,3
2021-12-27 18:00:00,1.49,1.493,1.493,1
2021-12-27 17:00:00,1.11,1.156,1.062,2
2021-12-27 16:00:00,1.55,1.587,1.521,2
2021-12-27 15:00:00,0.95,1.162,0.735,2
2021-12-27 13:00:00,0.98,1.104,0.857,2
2021-12-27 12:00:00,1.54,1.538,1.538,1
2021-12-27 11:00:00,0.75,0.872,0.62,2
2021-12-27 10:00:00,1.33,1.613,0.953,4
2021-12-27 09:00:00,1.2,1.449,0.962,3
2021-12-27 08:00:00,1.4,1.768,0.913,3
2021-12-27 07:00:00,1.6,1.603,1.603,1
2021-12-27 06:00:00,1.55,1.756,1.343,2
2021-12-27 05:00:00,1.12,1.381,0.583,5
2021-12-27 04:00:00,1.21,2.006,0.56,5
2021-12-27 03:00:00,0.52,0.593,0.475,4
2021-12-27 02:00:00,1.13,1.16,1.093,2
2021-12-27 01:00:00,0.84,1.226,0.456,2
2021-12-27 00:00:00,0.84,1.334,0.416,5
2021-12-26 23:00:00,1.42,1.777,0.96,5
2021-12-26 22:00:00,1.37,1.621,1.115,4
2021-12-26 21:00:00,1.72,1.9,1.535,2
2021-12-26 20:00:00,1.22,1.373,1.073,2
2021-12-26 19:00:00,1.47,1.718,0.995,4
2021-12-26 18:00:00,0.6,0.746,0.447,2
2021-12-26 17:00:00,1.15,1.278,1.012,2
2021-12-26 16:00:00,1.15,1.741,0.941,5
2021-12-26 15:00:00,0.84,0.961,0.532,4
2021-12-26 14:00:00,0.41,0.503,0.316,2
2021-12-26 13:00:00,0.92,1.14,0.707,2
2021-12-26 12:00:00,1.04,1.274,0.809,2
2021-12-26 11:00:00,1.08,1.468,0.572,3
2021-12-26 10:00:00,0.8,1.111,0.583,3
2021-12-26 09:00:00,1.25,1.572,0.91,4
2021-12-26 08:00:00,1.51,1.708,1.305,3
2021-12-26 07:00:00,1.54,1.541,1.541,1
2021-12-26 06:00:00,1.31,1.603,0.859,4
2021-12-26 05:00:00,1.01,1.106,0.899,3
2021-12-26 04:00:00,0.88,1.104,0.648,2
2021-12-26 03:00:00,0.75,0.754,0.754,1
2021-12-26 02:00:00,0.66,0.774,0.543,3
2021-12-26 01:00:00,0.95,1.072,0.834,2
2021-12-26 00:00:00,0.59,0.928,0.245,2
2021-12-25 23:00:00,1.29,1.49,1.089,2
2021-12-25 22:00:00,1.6,1.603,1.603,1
2021-12-25 21:00:00,1.43,1.432,1.432,1
2021-12-25 20:00:00,1.31,1.589,1.123,3
2021-12-25 19:00:00,1.55,1.897,1.252,3
2021-12-25 18:00:00,1.1,1.181,1.018,4
2021-12-25 17:00:00,1.1,1.612,0.748,3
2021-12-25 16:00:00,1.02,1.309,0.601,4
2021-12-25 15:00:00,0.99,1.475,0.585,5
2021-12-25 13:00:00,0.81,1.188,0.474,4
2021-12-25 12:00:00,1.01,1.059,0.959,2
2021-12-25 11:00:00,0.85,0.946,0.68,3
2021-12-25 10:00:00,0.68,0.777,0.598,4
2021-12-25 09:00:00,1.49,1.814,1.279,3
2021-12-25 08:00:00,1.45,1.449,1.449,1
2021-12-25 07:00:00,0.85,0.85,0.85,1
2021-12-25 06:00:00,1.38,1.608,1.131,3
2021-12-25 04:00:00,0.97,1.214,0.632,4
2021-12-25 03:00:00,0.66,1.081,0.387,3
2021-12-25 02:00:00,1.07,1.074,1.074,1
2021-12-25 01:00:00,0.86,0.997,0.732,2
2021-12-24 23:00:00,1.08,1.081,1.081,1
2021-12-24 22:00:00,1.68,1.742,1.627,2
2021-12-24 20:00:00,1.28,1.393,1.166,3
2021-12-24 19:00:00,1.56,1.734,1.394,2
2021-12-24 18:00:00,0.8,1.055,0.496,5
2021-12-24 17:00:00,0.88,1.105,0.554,4
2021-12-24 16:00:00,1.18,1.182,1.182,1
2021-12-24 15:00:00,0.95,1.267,0.631,2
2021-12-24 14:00:00,1.11,1.748,0.538,4
2021-12-24 13:00:00,0.98,1.053,0.907,2
2021-12-24 12:00:00,0.88,0.994,0.768,3
2021-12-24 11:00:00,1.15,1.428,0.874,2
2021-12-24 10:00:00,0.79,0.904,0.682,2
2021-12-24 09:00:00,1.37,1.366,1.366,1
2021-12-24 08:00:00,1.53,1.846,1.119,3
2021-12-24 07:00:00,1.2,1.199,1.199,1
2021-12-24 06:00:00,1.4,1.558,1.233,2
2021-12-24 05:00:00,1.11,1.225,1.005,2
2021-12-24 03:00:00,0.82,0.901,0.746,2
2021-12-24 02:00:00,0.83,0.858,0.805,3
2021-12-24 01:00:00,1.08,1.143,1.02,3
2021-12-24 00:00:00,0.9,0.966,0.834,2
2021-12-23 23:00:00,1.42,1.713,1.171,3
2021-12-23 22:00:00,1.55,1.546,1.546,1
2021-12-23 21:00:00,1.32,1.675,0.912,4
2021-12-23 20:00:00,1.79,1.79,1.79,1
2021-12-23 19:00:00,1.52,1.52,1.52,1
2021-12-23 18:00:00,1.05,1.055,1.055,1
2021-12-23 17:00:00,1.0,0.996,0.996,1
2021-12-23 16:00:00,0.73,0.733,0.733,1
2021-12-23 15:00:00,0.99,1.369,0.48,4
2021-12-23 14:00:00,1.37,1.367,1.367,1
2021-12-23 13:00:00,1.34,1.617,1.069,2
2021-12-23 12:00:00,0.94,1.278,0.752,3
2021-12-23 11:00:00,1.08,1.441,0.608,5
2021-12-23 10:00:00,1.12,1.421,0.652,3
2021-12-23 09:00:00,1.57,2.085,0.928,5
2021-12-23 08:00:00,1.23,1.454,0.928,4
2021-12-23 07:00:00,1.41,1.727,1.039,3
2021-12-23 06:00:00,1.75,1.803,1.715,3
2021-12-23 05:00:00,1.51,1.51,1.51,1
2021-12-23 04:00:00,1.04,1.343,0.797,4
2021-12-23 03:00:00,1.04,1.223,0.918,3
2021-12-23 02:00:00,1.05,1.15,0.882,4
2021-12-23 01:00:00,0.75,1.205,0.401,3
2021-12-23 00:00:00,0.94,1.362,0.527,2
2021-12-22 23:00:00,1.72,2.192,1.193,4
2021-12-22 22:00:00,1.47,1.537,1.408,2
2021-12-22 21:00:00,1.87,2.262,1.481,2
2021-12-22 20:00:00,1.95,1.951,1.951,1
2021-12-22 18:00:00,0.94,1.374,0.477,5
2021-12-22 17:00:00,1.16,1.556,0.759,2
2021-12-22 16:00:00,0.88,0.884,0.884,1
2021-12-22 15:00:00,1.15,1.146,1.146,1
2021-12-22 14:00:00,0.37,0.368,0.368,1
2021-12-22 13:00:00,1.04,1.247,0.824,2
2021-12-22 12:00:00,1.51,1.731,1.285,2
2021-12-22 11:00:00,1.0,1.069,0.934,2
2021-12-22 10:00:00,1.25,1.254,1.254,1
2021-12-22 09:00:00,1.08,1.48,0.79,3
2021-12-22 08:00:00,1.35,1.525,1.18,2
2021-12-22 07:00:00,1.21,1.214,1.214,1
2021-12-22 06:00:00,1.48,1.635,1.244,5
2021-12-22 05:00:00,0.97,1.002,0.937,2
2021-12-22 04:00:00,0.87,0.867,0.867,1
2021-12-22 03:00:00,1.18,1.425,1.032,3
2021-12-22 02:00:00,0.98,1.421,0.537,2
2021-12-22 01:00:00,0.91,1.236,0.552,4
2021-12-22 00:00:00,1.05,1.344,0.736,3
2021-12-21 23:00:00,1.62,1.814,1.427,2
2021-12-21 22:00:00,1.38,1.697,1.022,4
2021-12-21 21:00:00,1.6,2.012,1.095,3
2021-12-21 20:00:00,1.4,1.765,1.035,2
2021-12-21 19:00:00,1.51,1.786,1.063,4
2021-12-21 18:00:00,1.44,1.442,1.442,1
2021-12-21 17:00:00,0.88,1.25,0.5,2
2021-12-21 16:00:00,1.1,1.409,0.797,2
2021-12-21 15:00:00,0.91,1.188,0.606,3
2021-12-21 14:00:00,0.71,0.709,0.709,1
2021-12-21 13:00:00,0.48,0.476,0.476,1
2021-12-21 12:00:00,0.98,1.425,0.544,2
2021-12-21 11:00:00,0.6,0.705,0.458,3
2021-12-21 10:00:00,0.92,0.916,0.916,1
2021-12-21 09:00:00,1.54,2.032,1.049,2
2021-12-21 08:00:00,1.46,1.692,1.064,5
2021-12-21 07:00:00,1.51,1.671,1.223,4
2021-12-21 06:00:00,1.37,1.409,1.325,2
2021-12-21 05:00:00,1.1,1.145,1.052,2
2021-12-21 04:00:00,1.29,1.566,0.958,4
2021-12-21 03:00:00,1.12,1.42,0.803,4
2021-12-21 02:00:00,1.07,1.421,0.904,5
2021-12-21 01:00:00,0.8,1.232,0.492,5
2021-12-21 00:00:00,0.95,1.382,0.585,4
2021-12-20 23:00:00,1.67,1.832,1.449,3
2021-12-20 22:00:00,1.6,1.891,1.317,2
2021-12-20 21:00:00,1.31,1.922,0.881,3
2021-12-20 20:00:00,1.52,1.755,1.181,5
2021-12-20 19:00:00,1.43,1.704,1.21,4
2021-12-20 18:00:00,1.13,1.315,0.95,2
2021-12-20 17:00:00,1.19,1.446,1.019,4
2021-12-20 16:00:00,0.91,1.263,0.393,3
2021-12-20 15:00:00,1.31,1.489,1.081,3
2021-12-20 14:00:00,0.95,0.947,0.947,1
2021-12-20 13:00:00,0.93,1.045,0.81,2
2021-12-20 12:00:00,1.2,1.202,1.202,1
2021-12-20 11:00:00,1.21,1.229,1.188,2
2021-12-20 10:00:00,0.74,0.736,0.736,1
2021-12-20 09:00:00,1.52,1.802,1.235,3
2021-12-20 08:00:00,1.63,1.846,1.43,4
2021-12-20 07:00:00,1.45,1.833,1.073,2
2021-12-20 06:00:00,1.05,1.26,0.838,3
2021-12-20 05:00:00,1.27,1.273,1.273,1
2021-12-20 04:00:00,1.06,1.523,0.761,3
2021-12-20 03:00:00,0.81,0.841,0.789,2
2021-12-20 02:00:00,0.87,1.115,0.41,3
2021-12-20 01:00:00,1.22,1.722,0.992,4
2021-12-20 00:00:00,1.08,1.083,1.083,1
2021-12-19 23:00:00,1.04,1.04,1.04,1
2021-12-19 22:00:00,1.22,1.403,0.75,4
2021-12-19 21:00:00,1.38,1.873,1.119,3
2021-12-19 20:00:00,1.51,1.79,1.087,4
2021-12-19 19:00:00,1.13,1.982,0.6,3
2021-12-19 18:00:00,1.2,1.204,1.204,1
2021-12-19 17:00:00,1.01,1.195,0.668,3
2021-12-19 16:00:00,1.07,1.34,0.865,4
2021-12-19 15:00:00,1.17,1.169,1.169,1
2021-12-19 14:00:00,0.91,1.157,0.712,3
2021-12-19 13:00:00,1.17,1.285,1.039,3
2021-12-19 12:00:00,0.88,1.208,0.573,3
2021-12-19 11:00:00,0.72,0.872,0.57,2
2021-12-19 10:00:00,1.08,1.296,0.91,4
2021-12-19 08:00:00,1.11,1.695,0.723,3
2021-12-19 07:00:00,1.34,1.349,1.324,2
2021-12-19 06:00:00,1.37,1.734,0.949,3
2021-12-19 05:00:00,1.03,1.312,0.751,2
2021-12-19 04:00:00,0.63,0.785,0.477,2
2021-12-19 03:00:00,0.96,1.228,0.75,3
2021-12-19 02:00:00,0.72,0.965,0.352,3
2021-12-19 01:00:00,0.84,1.028,0.717,4
2021-12-19 00:00:00,0.72,1.111,0.4,4
2021-12-18 23:00:00,1.74,1.738,1.738,1
2021-12-18 22:00:00,1.32,1.339,1.304,2
2021-12-18 21:00:00,0.89,1.34,0.438,2
2021-12-18 20:00:00,1.52,1.52,1.52,1
2021-12-18 19:00:00,1.2,1.627,0.987,5
2021-12-18 18:00:00,0.78,1.008,0.566,4
2021-12-18 17:00:00,1.06,1.062,1.062,1
2021-12-18 16:00:00,0.8,0.802,0.802,1
2021-12-18 15:00:00,0.82,1.555,0.476,4
2021-12-18 14:00:00,0.94,0.936,0.936,1
2021-12-18 13:00:00,1.02,1.362,0.686,2
2021-12-18 12:00:00,0.6,0.762,0.486,3
2021-12-18 11:00:00,0.8,1.219,0.488,5
2021-12-18 10:00:00,0.53,0.558,0.507,2
2021-12-18 09:00:00,1.09,1.254,0.928,2
2021-12-18 08:00:00,1.41,1.584,1.23,2
2021-12-18 07:00:00,1.03,1.031,1.031,1
2021-12-18 06:00:00,1.17,1.682,0.771,3
2021-12-18 05:00:00,1.12,1.123,1.123,1
2021-12-18 03:00:00,0.71,1.212,0.293,4
2021-12-18 02:00:00,0.95,1.226,0.621,6
2021-12-18 01:00:00,0.77,1.092,0.399,4
2021-12-18 00:00:00,1.2,1.406,0.999,2
2021-12-17 23:00:00,1.45,1.657,1.22,3
2021-12-17 22:00:00,1.61,1.669,1.55,2
2021-12-17 21:00:00,1.4,1.714,1.091,2
2021-12-17 20:00:00,1.55,2.187,1.1,3
2021-12-17 19:00:00,1.68,1.683,1.683,1
2021-12-17 18:00:00,0.91,1.291,0.533,2
2021-12-17 17:00:00,0.94,1.311,0.534,4
2021-12-17 16:00:00,0.92,1.097,0.58,3
2021-12-17 15:00:00,1.11,1.598,0.818,5
2021-12-17 13:00:00,1.15,1.25,1.068,3
2021-12-17 12:00:00,0.77,0.82,0.724,2
2021-12-17 11:00:00,1.12,1.228,0.999,6
2021-12-17 10:00:00,0.8,1.047,0.548,2
2021-12-17 09:00:00,1.39,1.888,1.04,3
2021-12-17 08:00:00,1.39,1.576,1.183,3
2021-12-17 07:00:00,1.41,1.525,1.292,2
2021-12-17 06:00:00,1.42,1.876,1.021,4
2021-12-17 05:00:00,1.06,1.486,0.629,4
2021-12-17 04:00:00,1.25,1.307,1.156,3
2021-12-17 03:00:00,0.9,1.039,0.793,3
2021-12-17 02:00:00,0.71,0.935,0.481,2
2021-12-17 01:00:00,1.12,1.228,1.007,2
2021-12-17 00:00:00,0.9,1.377,0.432,2
2021-12-16 23:00:00,1.57,1.837,1.31,2
2021-12-16 22:00:00,1.48,1.668,1.283,2
2021-12-16 21:00:00,1.47,1.515,1.42,2
2021-12-16 20:00:00,1.55,1.55,1.55,1
2021-12-16 19:00:00,1.34,1.345,1.345,1
2021-12-16 18:00:00,0.91,1.232,0.515,4
2021-12-16 17:00:00,1.34,1.651,1.171,4
2021-12-16 15:00:00,0.99,1.109,0.776,3
2021-12-16 14:00:00,1.32,1.565,1.11,4
2021-12-16 13:00:00,1.18,1.304,1.057,2
2021-12-16 12:00:00,0.76,1.131,0.261,3
2021-12-16 11:00:00,1.03,1.035,1.035,1
2021-12-16 10:00:00,1.46,1.461,1.461,1
2021-12-16 09:00:00,1.22,1.515,1.066,3
2021-12-16 08:00:00,1.37,1.525,1.217,2
2021-12-16 07:00:00,1.09,1.266,0.939,3
2021-12-16 06:00:00,1.32,1.321,1.321,1
2021-12-16 05:00:00,1.2,1.537,0.826,3
2021-12-16 04:00:00,1.11,1.451,0.745,3
2021-12-16 03:00:00,0.76,1.035,0.482,2
2021-12-16 02:00:00,1.23,1.225,1.225,1
2021-12-16 01:00:00,1.1,1.227,0.971,2
2021-12-16 00:00:00,0.87,1.03,0.727,4
2021-12-15 23:00:00,1.68,1.774,1.537,3
2021-12-15 22:00:00,1.49,1.912,0.801,3
2021-12-15 21:00:00,1.36,1.76,1.099,4
2021-12-15 20:00:00,1.6,1.852,1.322,4
2021-12-15 19:00:00,1.54,1.543,1.543,1
2021-12-15 18:00:00,0.93,1.179,0.712,3
2021-12-15 17:00:00,0.93,1.109,0.759,2
2021-12-15 16:00:00,1.15,1.149,1.149,1
2021-12-15 15:00:00,0.84,0.843,0.843,1
2021-12-15 14:00:00,1.19,1.503,0.568,7
2021-12-15 13:00:00,0.84,1.148,0.534,2
2021-12-15 12:00:00,1.07,1.599,0.335,8
2021-12-15 11:00:00,1.29,1.496,1.078,2
2021-12-15 10:00:00,1.2,1.457,0.807,4
2021-12-15 09:00:00,1.42,1.88,1.157,3
2021-12-15 08:00:00,1.22,1.375,1.014,3
2021-12-15 07:00:00,0.85,0.851,0.851,1
2021-12-15 06:00:00,1.4,1.642,0.872,4
2021-12-15 05:00:00,1.05,1.117,0.98,2
2021-12-15 04:00:00,1.02,1.418,0.813,3
2021-12-15 03:00:00,0.17,0.175,0.175,1
2021-12-15 02:00:00,0.97,1.361,0.584,2
2021-12-15 01:00:00,0.96,1.488,0.65,3
2021-12-15 00:00:00,0.97,1.298,0.646,2
2021-12-14 23:00:00,1.81,1.999,1.517,3
2021-12-14 22:00:00,1.56,1.959,1.127,4
2021-12-14 21:00:00,1.92,2.038,1.669,4
2021-12-14 20:00:00,1.69,1.833,1.538,2
2021-12-14 19:00:00,1.58,1.782,1.226,3
2021-12-14 18:00:00,0.99,1.383,0.492,4
2021-12-14 17:00:00,1.04,1.04,1.04,1
2021-12-14 16:00:00,0.85,1.274,0.361,3
2021-12-14 15:00:00,1.05,1.2,0.72,5
2021-12-14 14:00:00,1.32,1.514,1.012,3
2021-12-14 13:00:00,1.29,1.294,1.294,1
2021-12-14 12:00:00,0.69,0.685,0.685,1
2021-12-14 11:00:00,0.82,1.109,0.423,4
2021-12-14 10:00:00,0.92,1.256,0.623,3
2021-12-14 09:00:00,1.36,1.632,1.081,2
2021-12-14 08:00:00,1.58,1.923,1.142,4
2021-12-14 07:00:00,1.3,1.428,1.181,2
2021-12-14 06:00:00,1.3,1.514,1.115,3
2021-12-14 05:00:00,0.85,1.328,0.484,6
2021-12-14 04:00:00,0.95,1.22,0.578,6
2021-12-14 03:00:00,0.86,1.223,0.634,5
2021-12-14 02:00:00,1.28,1.278,1.278,1
2021-12-14 01:00:00,1.2,1.2,1.2,1
2021-12-14 00:00:00,0.97,1.154,0.724,3
2021-12-13 23:00:00,1.27,1.583,1.096,5
2021-12-13 21:00:00,1.41,1.598,1.246,4
2021-12-13 20:00:00,1.58,1.863,1.272,4
2021-12-13 19:00:00,2.01,2.028,1.992,2
2021-12-13 18:00:00,1.18,1.642,0.591,4
2021-12-13 17:00:00,1.21,1.286,1.09,3
2021-12-13 16:00:00,1.08,1.233,0.934,2
2021-12-13 15:00:00,1.21,1.305,1.114,2
2021-12-13 14:00:00,1.14,1.617,0.666,2
2021-12-13 12:00:00,0.81,0.814,0.814,1
2021-12-13 11:00:00,0.9,0.954,0.853,2
2021-12-13 10:00:00,0.95,1.213,0.681,5
2021-12-13 09:00:00,1.39,1.829,1.12,4
2021-12-13 08:00:00,1.33,1.824,0.828,2
2021-12-13 07:00:00,1.46,1.651,1.26,2
2021-12-13 06:00:00,1.32,1.612,1.105,4
2021-12-13 05:00:00,1.01,1.121,0.867,3
2021-12-13 04:00:00,0.86,1.044,0.508,3
2021-12-13 03:00:00,0.73,0.781,0.674,2
2021-12-13 02:00:00,1.22,1.216,1.216,1
2021-12-13 01:00:00,1.34,1.336,1.336,1
2021-12-13 00:00:00,1.27,1.455,1.084,2
2021-12-12 23:00:00,1.49,1.909,0.93,3
2021-12-12 22:00:00,1.28,1.65,0.918,2
2021-12-12 21:00:00,1.62,2.178,1.088,6
2021-12-12 20:00:00,1.29,1.896,0.782,4
2021-12-12 19:00:00,1.58,1.778,1.335,3
2021-12-12 18:00:00,0.84,1.295,0.523,3
2021-12-12 17:00:00,0.89,1.086,0.726,3
2021-12-12 16:00:00,0.72,1.016,0.328,5
2021-12-12 15:00:00,0.87,1.389,0.474,5
2021-12-12 14:00:00,1.01,1.015,1.015,1
2021-12-12 13:00:00,0.75,1.385,0.142,4
2021-12-12 12:00:00,0.79,1.042,0.643,3
2021-12-12 11:00:00,0.62,0.839,0.395,2
2021-12-12 10:00:00,1.0,1.43,0.631,3
2021-12-12 09:00:00,1.12,1.176,0.977,4
2021-12-12 08:00:00,1.13,1.329,1.021,3
2021-12-12 07:00:00,1.16,1.486,0.701,5
2021-12-12 06:00:00,0.8,0.796,0.796,1
2021-12-12 05:00:00,0.6,0.604,0.604,1
2021-12-12 04:00:00,0.58,0.768,0.392,2
2021-12-12 03:00:00,0.75,1.048,0.248,4
2021-12-12 02:00:00,0.44,0.444,0.444,1
2021-12-12 01:00:00,1.3,1.552,1.044,2
2021-12-12 00:00:00,0.82,1.2,0.572,3
2021-12-11 23:00:00,0.94,0.942,0.942,1
2021-12-11 22:00:00,1.62,1.636,1.612,2
2021-12-11 21:00:00,1.73,1.991,1.459,2
2021-12-11 20:00:00,1.34,1.339,1.339,1
2021-12-11 18:00:00,0.54,0.613,0.463,2
2021-12-11 17:00:00,0.79,1.081,0.411,4
2021-12-11 16:00:00,1.06,1.367,0.756,4
2021-12-11 14:00:00,0.85,1.172,0.533,2
2021-12-11 13:00:00,1.05,1.088,1.005,2
2021-12-11 12:00:00,0.88,1.095,0.542,3
2021-12-11 11:00:00,1.28,1.585,0.996,4
2021-12-11 10:00:00,1.13,1.554,0.851,5
2021-12-11 09:00:00,1.12,1.343,0.697,4
2021-12-11 08:00:00,0.53,0.532,0.532,1
2021-12-11 07:00:00,1.36,1.43,1.293,2
2021-12-11 06:00:00,1.21,1.887,0.833,4
2021-12-11 05:00:00,0.74,0.897,0.586,2
2021-12-11 02:00:00,1.28,1.28,1.28,1
2021-12-11 01:00:00,0.37,0.369,0.369,1
2021-12-11 00:00:00,0.95,1.065,0.831,2
2021-12-10 23:00:00,1.64,1.919,1.254,3
2021-12-10 22:00:00,1.16,1.159,1.159,1
2021-12-10 21:00:00,1.68,2.037,1.076,5
2021-12-10 20:00:00,1.21,1.47,0.959,2
2021-12-10 19:00:00,1.51,1.515,1.515,1
2021-12-10 18:00:00,0.82,1.113,0.385,4
2021-12-10 16:00:00,1.08,1.307,0.822,3
2021-12-10 15:00:00,0.84,0.845,0.845,1
2021-12-10 14:00:00,0.87,1.385,0.557,3
2021-12-10 13:00:00,1.02,1.284,0.554,5
2021-12-10 12:00:00,1.02,1.45,0.68,5
2021-12-10 11:00:00,0.8,0.992,0.617,2
2021-12-10 09:00:00,1.5,1.635,1.41,3
2021-12-10 08:00:00,1.51,1.85,0.989,4
2021-12-10 07:00:00,1.14,1.137,1.137,1
2021-12-10 06:00:00,1.38,2.013,0.936,6
2021-12-10 05:00:00,1.01,1.297,0.758,4
2021-12-10 03:00:00,1.27,1.755,0.73,4
2021-12-10 02:00:00,0.86,1.528,0.548,8
2021-12-10 01:00:00,0.89,0.937,0.811,3
2021-12-10 00:00:00,0.88,0.878,0.878,1
2021-12-09 23:00:00,1.26,1.279,1.25,2
2021-12-09 22:00:00,1.61,2.119,1.126,3
2021-12-09 21:00:00,1.69,1.841,1.547,2
2021-12-09 20:00:00,1.46,1.595,1.328,3
2021-12-09 19:00:00,1.45,1.701,1.106,3
2021-12-09 18:00:00,0.76,1.187,0.338,2
2021-12-09 17:00:00,0.83,1.074,0.593,2
2021-12-09 16:00:00,1.07,1.453,0.558,3
2021-12-09 15:00:00,1.02,1.172,0.749,4
2021-12-09 14:00:00,0.9,1.262,0.684,3
2021-12-09 13:00:00,0.71,1.006,0.423,2
2021-12-09 12:00:00,1.01,1.204,0.802,4
2021-12-09 11:00:00,0.96,1.505,0.465,5
